ValidStart,hasDrought_land_area,lag1,lag2
2017-10-24,33595.479580214735,34922.937381661526,35225.47368133167
2017-10-31,31013.675706397047,33595.479580214735,34922.937381661526
2017-11-07,30357.23059803053,31013.675706397047,33595.479580214735
2017-11-14,32357.756196222843,30357.23059803053,31013.675706397047
2017-11-21,33983.201166033,32357.756196222843,30357.23059803053
2017-11-28,39330.0158320691,33983.201166033,32357.756196222843
2017-12-05,43912.26907176723,39330.0158320691,33983.201166033
2017-12-12,50715.77773834474,43912.26907176723,39330.0158320691
2017-12-19,52436.3774850652,50715.77773834474,43912.26907176723
2017-12-26,50558.4259365495,52436.3774850652,50715.77773834474
2018-01-02,51334.24966112949,50558.4259365495,52436.3774850652
2018-01-09,53447.1208061014,51334.24966112949,50558.4259365495
2018-01-16,56312.82837789975,53447.1208061014,51334.24966112949
2018-01-23,57687.4081235781,56312.82837789975,53447.1208061014
2018-01-30,67582.60403878023,57687.4081235781,56312.82837789975
2018-02-06,65897.28914147169,67582.60403878023,57687.4081235781
2018-02-13,59980.89078531429,65897.28914147169,67582.60403878023
2018-02-20,58786.195237168555,59980.89078531429,65897.28914147169
2018-02-27,54544.77851817373,58786.195237168555,59980.89078531429
2018-03-06,52524.210591848205,54544.77851817373,58786.195237168555
2018-03-13,52187.651580357866,52524.210591848205,54544.77851817373
2018-03-20,49153.913503416385,52187.651580357866,52524.210591848205
2018-03-27,48442.884638192285,49153.913503416385,52187.651580357866
2018-04-03,45323.92664826697,48442.884638192285,49153.913503416385
2018-04-10,44362.44316131928,45323.92664826697,48442.884638192285
2018-04-17,41014.62894434353,44362.44316131928,45323.92664826697
2018-04-24,40714.34760565652,41014.62894434353,44362.44316131928
2018-05-01,40963.27134457372,40714.34760565652,41014.62894434353
2018-05-08,42445.42321886754,40963.27134457372,40714.34760565652
2018-05-15,43481.05258148105,42445.42321886754,40963.27134457372
2018-05-22,40066.28828134727,43481.05258148105,42445.42321886754
2018-05-29,39394.081611182366,40066.28828134727,43481.05258148105
2018-06-05,42852.183983575014,39394.081611182366,40066.28828134727
2018-06-12,44097.3140364903,42852.183983575014,39394.081611182366
2018-06-19,44153.28924794956,44097.3140364903,42852.183983575014
2018-06-26,45556.5177950498,44153.28924794956,44097.3140364903
2018-07-03,45865.49699939015,45556.5177950498,44153.28924794956
2018-07-10,45499.605541589845,45865.49699939015,45556.5177950498
2018-07-17,46882.58018695389,45499.605541589845,45865.49699939015
2018-07-24,50017.105666751624,46882.58018695389,45499.605541589845
2018-07-31,50786.476944390226,50017.105666751624,46882.58018695389
2018-08-07,50480.13290323276,50786.476944390226,50017.105666751624
2018-08-14,54016.79152839455,50480.13290323276,50786.476944390226
2018-08-21,53229.081148945246,54016.79152839455,50480.13290323276
2018-08-28,51958.49023763527,53229.081148945246,54016.79152839455
2018-09-04,50014.268335273824,51958.49023763527,53229.081148945246
2018-09-11,46930.254605594215,50014.268335273824,51958.49023763527
2018-09-18,46781.26817944616,46930.254605594215,50014.268335273824
2018-09-25,45220.47951918486,46781.26817944616,46930.254605594215
2018-10-02,44252.50427745799,45220.47951918486,46781.26817944616
2018-10-09,40531.56800253887,44252.50427745799,45220.47951918486
2018-10-16,35940.029345983225,40531.56800253887,44252.50427745799
2018-10-23,35743.41642813315,35940.029345983225,40531.56800253887
2018-10-30,34328.43369915997,35743.41642813315,35940.029345983225
2018-11-06,33480.14153476976,34328.43369915997,35743.41642813315
2018-11-13,33014.773003298054,33480.14153476976,34328.43369915997
2018-11-20,31605.805563985657,33014.773003298054,33480.14153476976
2018-11-27,31994.401843500276,31605.805563985657,33014.773003298054
2018-12-04,30728.891663590526,31994.401843500276,31605.805563985657
2018-12-11,30988.529377731782,30728.891663590526,31994.401843500276
2018-12-18,31320.26853084006,30988.529377731782,30728.891663590526
2018-12-25,32113.882299278157,31320.26853084006,30988.529377731782
2019-01-01,29292.232974371516,32113.882299278157,31320.26853084006
2019-01-08,28847.84049638144,29292.232974371516,32113.882299278157
2019-01-15,29808.520603898578,28847.84049638144,29292.232974371516
2019-01-22,29466.846245659635,29808.520603898578,28847.84049638144
2019-01-29,28380.958036481014,29466.846245659635,29808.520603898578
2019-02-05,28718.313757090888,28380.958036481014,29466.846245659635
2019-02-12,30553.48702007468,28718.313757090888,28380.958036481014
2019-02-19,28361.267313391403,30553.48702007468,28718.313757090888
2019-02-26,25401.711861365893,28361.267313391403,30553.48702007468
2019-03-05,25199.180898095823,25401.711861365893,28361.267313391403
2019-03-12,20992.601549387065,25199.180898095823,25401.711861365893
2019-03-19,17998.60674042006,20992.601549387065,25199.180898095823
2019-03-26,17717.02023076541,17998.60674042006,20992.601549387065
2019-04-02,19745.530202937152,17717.02023076541,17998.60674042006
2019-04-09,17452.461152769123,19745.530202937152,17717.02023076541
2019-04-16,13794.022483179848,17452.461152769123,19745.530202937152
2019-04-23,12161.381949436844,13794.022483179848,17452.461152769123
2019-04-30,11020.5578502738,12161.381949436844,13794.022483179848
2019-05-07,9810.959879713753,11020.5578502738,12161.381949436844
2019-05-14,8900.713170752959,9810.959879713753,11020.5578502738
2019-05-21,9412.376198976355,8900.713170752959,9810.959879713753
2019-05-28,11895.302713400744,9412.376198976355,8900.713170752959
2019-06-04,12647.28808232419,11895.302713400744,9412.376198976355
2019-06-11,10454.82529340386,12647.28808232419,11895.302713400744
2019-06-18,11750.631609010568,10454.82529340386,12647.28808232419
2019-06-25,11160.763199380832,11750.631609010568,10454.82529340386
2019-07-02,11024.028109281266,11160.763199380832,11750.631609010568
2019-07-09,20633.311926020528,11024.028109281266,11160.763199380832
2019-07-16,20857.991511751705,20633.311926020528,11024.028109281266
2019-07-23,21885.026246891714,20857.991511751705,20633.311926020528
2019-07-30,24483.109793749256,21885.026246891714,20857.991511751705
2019-08-06,25846.162993602968,24483.109793749256,21885.026246891714
2019-08-13,27377.868712607302,25846.162993602968,24483.109793749256
2019-08-20,29843.82942939941,27377.868712607302,25846.162993602968
2019-08-27,31180.942237859348,29843.82942939941,27377.868712607302
2019-09-03,32290.929879415067,31180.942237859348,29843.82942939941
2019-09-10,33301.703470457374,32290.929879415067,31180.942237859348
2019-09-17,35333.119241225875,33301.703470457374,32290.929879415067
2019-09-24,38734.291330056025,35333.119241225875,33301.703470457374
2019-10-01,37998.349876204054,38734.291330056025,35333.119241225875
2019-10-08,35546.98024353457,37998.349876204054,38734.291330056025
2019-10-15,38193.08967313317,35546.98024353457,37998.349876204054
2019-10-22,35969.97309207838,38193.08967313317,35546.98024353457
2019-10-29,32553.903722289953,35969.97309207838,38193.08967313317
2019-11-05,27214.278054620456,32553.903722289953,35969.97309207838
2019-11-12,29003.535336764173,27214.278054620456,32553.903722289953
2019-11-19,28787.34646398881,29003.535336764173,27214.278054620456
2019-11-26,31763.89037829806,28787.34646398881,29003.535336764173
2019-12-03,30478.1885002987,31763.89037829806,28787.34646398881
2019-12-10,26866.09381710329,30478.1885002987,31763.89037829806
2019-12-17,25895.942476160548,26866.09381710329,30478.1885002987
2019-12-24,24603.699304041696,25895.942476160548,26866.09381710329
2019-12-31,23262.09975631614,24603.699304041696,25895.942476160548
2020-01-07,23006.452836207223,23262.09975631614,24603.699304041696
2020-01-14,22234.63342849721,23006.452836207223,23262.09975631614
2020-01-21,23635.90154058807,22234.63342849721,23006.452836207223
2020-01-28,25912.24564892035,23635.90154058807,22234.63342849721
2020-02-04,25010.212431462365,25912.24564892035,23635.90154058807
2020-02-11,23592.601245846337,25010.212431462365,25912.24564892035
2020-02-18,22702.35540937149,23592.601245846337,25010.212431462365
2020-02-25,21965.137235616054,22702.35540937149,23592.601245846337
2020-03-03,22662.74271671438,21965.137235616054,22702.35540937149
2020-03-10,22442.728991085867,22662.74271671438,21965.137235616054
2020-03-17,22954.54040087117,22442.728991085867,22662.74271671438
2020-03-24,23069.778891300535,22954.54040087117,22442.728991085867
2020-03-31,23194.97769634102,23069.778891300535,22954.54040087117
2020-04-07,23464.286082436236,23194.97769634102,23069.778891300535
2020-04-14,23513.39721481641,23464.286082436236,23194.97769634102
2020-04-21,24749.387952716235,23513.39721481641,23464.286082436236
2020-04-28,26411.55812276293,24749.387952716235,23513.39721481641
2020-05-05,28348.951649841332,26411.55812276293,24749.387952716235
2020-05-12,31615.44010213129,28348.951649841332,26411.55812276293
2020-05-19,32934.35689886747,31615.44010213129,28348.951649841332
2020-05-26,31831.87870108272,32934.35689886747,31615.44010213129
2020-06-02,33267.0232126291,31831.87870108272,32934.35689886747
2020-06-09,35870.68769926258,33267.0232126291,31831.87870108272
2020-06-16,40565.58554667082,35870.68769926258,33267.0232126291
2020-06-23,41481.954107616715,40565.58554667082,35870.68769926258
2020-06-30,42115.32372484757,41481.954107616715,40565.58554667082
2020-07-07,45911.32885142812,42115.32372484757,41481.954107616715
2020-07-14,48569.12633945243,45911.32885142812,42115.32372484757
2020-07-21,52489.53314764158,48569.12633945243,45911.32885142812
2020-07-28,52833.214892050375,52489.53314764158,48569.12633945243
2020-08-04,51319.86446803358,52833.214892050375,52489.53314764158
2020-08-11,50326.50874737709,51319.86446803358,52833.214892050375
2020-08-18,51345.641110454315,50326.50874737709,51319.86446803358
2020-08-25,55226.769229769816,51345.641110454315,50326.50874737709
2020-09-01,59364.68307384886,55226.769229769816,51345.641110454315
